pid,title,published_date,event_date,url
9802,108年8月8日天然災害停止辦公及上課情形,2019-08-12,2019-08-08,https://www.dgpa.gov.tw/information?uid=374&pid=9802
9793,108年7月17日天然災害停止辦公及上課情形,2019-07-18,2019-07-17,https://www.dgpa.gov.tw/information?uid=374&pid=9793
9765,108年6月14日天然災害停止辦公及上課情形,2019-06-17,2019-06-14,https://www.dgpa.gov.tw/information?uid=374&pid=9765
9727,108年5月20日天然災害停止辦公及上課情形,2019-05-21,2019-05-20,https://www.dgpa.gov.tw/information?uid=374&pid=9727
9725,108年5月17日天然災害停止辦公及上課情形,2019-05-20,2019-05-17,https://www.dgpa.gov.tw/information?uid=374&pid=9725
9679,108年3月21日天然災害停止辦公及上課情形,2019-03-22,2019-03-21,https://www.dgpa.gov.tw/information?uid=374&pid=9679
9547,108年1月18日天然災害停止辦公及上課情形,2019-01-19,2019-01-18,https://www.dgpa.gov.tw/information?uid=374&pid=9547
9273,107年11月1日天然災害停止辦公及上課情形,2018-11-02,2018-11-01,https://www.dgpa.gov.tw/information?uid=374&pid=9273
9234,107年9月16日天然災害停止辦公及上課情形,2018-09-17,2018-09-16,https://www.dgpa.gov.tw/information?uid=374&pid=9234
9233,107年9月15日天然災害停止辦公及上課情形,2018-09-17,2018-09-15,https://www.dgpa.gov.tw/information?uid=374&pid=9233
9232,107年9月14日天然災害停止辦公及上課情形,2018-09-17,2018-09-14,https://www.dgpa.gov.tw/information?uid=374&pid=9232
9224,107年9月10日天然災害停止辦公及上課情形,2018-09-11,2018-09-10,https://www.dgpa.gov.tw/information?uid=374&pid=9224
9208,107年8月28日天然災害停止辦公及上課情形,2018-08-29,2018-08-28,https://www.dgpa.gov.tw/information?uid=374&pid=9208
9207,107年8月27日天然災害停止辦公及上課情形,2018-08-28,2018-08-27,https://www.dgpa.gov.tw/information?uid=374&pid=9207
9205,107年8月26日天然災害停止辦公及上課情形,2018-08-27,2018-08-26,https://www.dgpa.gov.tw/information?uid=374&pid=9205
9204,107年8月25日天然災害停止辦公及上課情形,2018-08-27,2018-08-25,https://www.dgpa.gov.tw/information?uid=374&pid=9204
9203,107年8月24日天然災害停止辦公及上課情形,2018-08-27,2018-08-24,https://www.dgpa.gov.tw/information?uid=374&pid=9203
9201,107年8月23日天然災害停止辦公及上課情形,2018-08-24,2018-08-23,https://www.dgpa.gov.tw/information?uid=374&pid=9201
8169,107年7月11日天然災害停止辦公及上課情形,2018-07-11,2018-07-11,https://www.dgpa.gov.tw/information?uid=374&pid=8169
8162,107年7月10日天然災害停止辦公及上課情形,2018-07-10,2018-07-10,https://www.dgpa.gov.tw/information?uid=374&pid=8162
8152,107年7月2日天然災害停止辦公及上課情形,2018-07-03,2018-07-02,https://www.dgpa.gov.tw/information?uid=374&pid=8152
8133,107年6月20日天然災害停止辦公及上課情形,2018-06-21,2018-06-20,https://www.dgpa.gov.tw/information?uid=374&pid=8133
8130,107年6月15日天然災害停止辦公及上課情形,2018-06-19,2018-06-15,https://www.dgpa.gov.tw/information?uid=374&pid=8130
8129,107年6月14日天然災害停止辦公及上課情形,2018-06-15,2018-06-14,https://www.dgpa.gov.tw/information?uid=374&pid=8129
8085,107年4月30日天然災害停止辦公及上課情形,2018-05-01,2018-04-30,https://www.dgpa.gov.tw/information?uid=374&pid=8085
8072,107年4月23日天然災害停止辦公及上課情形,2018-04-25,2018-04-23,https://www.dgpa.gov.tw/information?uid=374&pid=8072
7995,107年2月7日天然災害停止辦公及上課情形,2018-02-08,2018-02-07,https://www.dgpa.gov.tw/information?uid=374&pid=7995
7839,106年10月17日天然災害停止辦公及上課情形,2017-10-18,2017-10-17,https://www.dgpa.gov.tw/information?uid=374&pid=7839
7838,106年10月16日天然災害停止辦公及上課情形,2017-10-18,2017-10-16,https://www.dgpa.gov.tw/information?uid=374&pid=7838
7833,106年10月15日天然災害停止辦公及上課情形,2017-10-16,2017-10-15,https://www.dgpa.gov.tw/information?uid=374&pid=7833
7832,106年10月14日天然災害停止辦公及上課情形,2017-10-16,2017-10-14,https://www.dgpa.gov.tw/information?uid=374&pid=7832
7831,106年10月13日天然災害停止辦公及上課情形,2017-10-16,2017-10-13,https://www.dgpa.gov.tw/information?uid=374&pid=7831
7790,106年09月13日天然災害停止辦公及上課情形,2017-09-14,2017-09-13,https://www.dgpa.gov.tw/information?uid=374&pid=7790
7753,106年08月22日天然災害停止辦公及上課情形,2017-08-23,2017-08-22,https://www.dgpa.gov.tw/information?uid=374&pid=7753
7719,106年07月31日天然災害停止辦公及上課情形,2017-08-01,2017-07-31,https://www.dgpa.gov.tw/information?uid=374&pid=7719
7712,106年07月30日天然災害停止辦公及上課情形,2017-07-31,2017-07-30,https://www.dgpa.gov.tw/information?uid=374&pid=7712
7711,106年07月29日天然災害停止辦公及上課情形,2017-07-31,2017-07-29,https://www.dgpa.gov.tw/information?uid=374&pid=7711
