notice_pid,notice_date,county,work_status,class_status,period,stopped_score,raw_text,source_url
10696,2021-07-23,新竹縣,stopped,stopped,evening,0.5,五峰國民中學:今天停止上班、停止上課。 五峰鄉五峰國民小學:今天停止上班、停止上課。 五峰鄉花園國民小學:今天停止上班、停止上課。 尖石國民中學:今天停止上班、停止上課。 尖石鄉玉峰國民小學:今天停止上班、停止上課。 尖石鄉石磊國民小學:今天停止上班、停止上課。 尖石鄉秀巒國民小學:今天停止上班、停止上課。 尖石鄉新光國民小學:今天停止上班、停止上課。 新竹縣五峰鄉桃山國民小學:今天停止上班、停止上課。 新竹縣尖石鄉尖石國民小學:今天停止上班、停止上課。 新竹縣尖石鄉梅花國民小學:今天停止上班、停止上課。 新竹縣尖石鄉新樂國民小學:今天停止上班、停止上課。 新竹縣尖石鄉嘉興國民小學:今天停止上班、停止上課。 新竹縣尖石鄉錦屏國民小學:今天停止上班、停止上課。 尖石鄉:今天晚上06:00起停止上班、停止上課。 尖石鄉:明天已達停止上班及上課標準。 五峰鄉:今天晚上06:00起停止上班、停止上課。 五峰鄉:明天已達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10696
10697,2021-07-24,桃園市,stopped,stopped,full_day,1.0,復興區:今天已達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10697
10697,2021-07-24,新竹縣,stopped,stopped,full_day,1.0,尖石鄉:今天已達停止上班及上課標準。 五峰鄉:今天已達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10697
10697,2021-07-24,苗栗縣,stopped,stopped,afternoon,0.5,南庄鄉:今天下午已達停止上班及上課標準。 泰安鄉:今天已達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10697
10699,2021-07-31,臺南市,stopped,stopped,full_day,1.0,明天已達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10699
10699,2021-07-31,高雄市,stopped,stopped,full_day,1.0,明天已達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10699
10700,2021-08-01,臺南市,stopped,stopped,full_day,1.0,今天已達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10700
10700,2021-08-01,高雄市,stopped,stopped,full_day,1.0,今天已達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10700
10701,2021-08-02,雲林縣,stopped,stopped,full_day,1.0,北港鎮:今天中午12:00起停止上班、停止上課。,https://www.dgpa.gov.tw/information?uid=374&pid=10701
10701,2021-08-02,嘉義縣,stopped,stopped,full_day,1.0,新港鄉:今天中午12:00起停止上班、停止上課。,https://www.dgpa.gov.tw/information?uid=374&pid=10701
10701,2021-08-02,高雄市,stopped,stopped,full_day,1.0,高雄市桃源區寶山國民小學:今天停止上班、停止上課。,https://www.dgpa.gov.tw/information?uid=374&pid=10701
10703,2021-08-05,高雄市,stopped,stopped,afternoon,0.5,六龜區:今天下午停止上班、停止上課。 甲仙區:今天下午停止上班、停止上課。 茂林區:今天下午停止上班、停止上課。 茂林區:明天停止上班、停止上課。 桃源區:今天下午停止上班、停止上課。 桃源區:明天停止上班、停止上課。 那瑪夏區:今天下午停止上班、停止上課。 那瑪夏區:明天停止上班、停止上課。,https://www.dgpa.gov.tw/information?uid=374&pid=10703
10704,2021-08-06,臺中市,stopped,stopped,full_day,1.0,和平區:明天已達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10704
10704,2021-08-06,雲林縣,stopped,stopped,afternoon,0.5,雲林縣口湖鄉下崙國民小學:今天下午停止上班、停止上課。 雲林縣口湖鄉口湖國民小學:今天下午停止上班、停止上課。 雲林縣土庫鎮馬光國民小學:今天下午停止上班、停止上課。 雲林縣水林鄉尖山國民小學:今天下午停止上班、停止上課。 雲林縣四湖鄉建陽國民小學:今天下午01:00起停止上班、停止上課。 雲林縣立麥寮高級中學:今天下午停止上班、停止上課。 雲林縣立蔦松藝術高級中等學校:今天下午02:00起停止上班、停止上課。 雲林縣麥寮國民小學:今天下午停止上班、停止上課。 雲林縣麥寮鄉明禮國民小學:今天下午停止上班、停止上課。 雲林縣麥寮鄉橋頭國民小學:今天下午停止上班、停止上課。 雲林縣麥寮鄉興華國民小學:今天下午停止上班、停止上課。 雲林縣麥寮鄉豐安國民小學:今天下午停止上班、停止上課。 臺西鄉:今天中午12:00起停止上班、停止上課。,https://www.dgpa.gov.tw/information?uid=374&pid=10704
10704,2021-08-06,嘉義市,stopped,stopped,full_day,1.0,明天已達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10704
10704,2021-08-06,嘉義縣,stopped,stopped,full_day,1.0,明天已達停止上班及上課標準。 阿里山鄉:明天停止上班、停止上課。,https://www.dgpa.gov.tw/information?uid=374&pid=10704
10704,2021-08-06,臺南市,stopped,stopped,full_day,1.0,明天已達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10704
10704,2021-08-06,高雄市,stopped,stopped,full_day,1.0,明天已達停止上班及上課標準。 茂林區:今天停止上班、停止上課。 桃源區:今天停止上班、停止上課。 那瑪夏區:今天停止上班、停止上課。,https://www.dgpa.gov.tw/information?uid=374&pid=10704
10704,2021-08-06,屏東縣,stopped,stopped,full_day,1.0,明天已達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10704
10705,2021-08-07,苗栗縣,stopped,stopped,morning,0.5,南庄鄉:今天上午10:00起停止上班、停止上課。 泰安鄉:今天上午09:00起停止上班、停止上課。 泰安鄉:明天已達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10705
10705,2021-08-07,臺中市,stopped,stopped,full_day,1.0,和平區:今天已達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10705
10705,2021-08-07,雲林縣,stopped,stopped,full_day,1.0,今天已達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10705
10705,2021-08-07,南投縣,stopped,stopped,full_day,1.0,信義鄉:今天已達停止上班及上課標準。 仁愛鄉:今天已達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10705
10705,2021-08-07,嘉義市,stopped,stopped,full_day,1.0,今天已達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10705
10705,2021-08-07,嘉義縣,stopped,stopped,full_day,1.0,今天已達停止上班及上課標準。 阿里山鄉:明天已達停止上班及上課標準。,https://www.dgpa.gov.tw/information?uid=374&pid=10705
